Typhoon Code,Typhoon Name,Bluff Head (Stanley),Central Pier,Cheung Chau,Cheung Chau Beach,Green Island,Hong Kong International Airport,Kai Tak,King's Park,Lamma Island,Lau Fau Shan,Ngong Ping,North Point,Peng Chau,Ping Chau,Sai Kung,Sha Chau,Sha Lo Wan,Sha Tin,Shek Kong,Star Ferry (Kowloon),Ta Kwu Ling,Tai Mei Tuk,Tai Mo Shan,Tai Po Kau,Tap Mun East,Tate's Cairn,Tseung Kwan O,Tsing Yi Shell Oil Depot,Tuen Mun Government Offices,Waglan Island,Wetland Park,Wong Chuk Hang, 
(1614,Meranti,14,22,25,19,31,31,22,13,nan,30,25,27,30,9,23,30,12,12,12,25,12,14,40,19,nan,45,12,19,14,30,13,nan, 
(1608,Dianmu,38,30,49,38,40,27,30,19,nan,27,63,30,27,6,30,34,25,16,22,31,14,36,68,30,nan,38,13,20,23,56,16,22, 
(1604,Nida,43,51,68,59,99,72,47,36,nan,63,121,41,59,20,49,77,52,36,25,47,27,58,101,34,nan,75,25,47,31,94,31,30, 
(1602,Mirinae,16,20,23,23,30,25,16,12,nan,19,38,20,22,4,14,23,16,9,14,16,13,25,45,19,nan,25,9,19,19,30,13,14, 
(1601W,TD1601W,31,31,40,41,51,45,27,19,nan,31,72,30,31,9,31,47,25,16,22,27,13,36,59,30,nan,52,12,34,25,45,20,25, 
(1522,Mujigae,52,40,76,67,54,45,40,30,nan,27,99,40,51,nan,40,54,38,20,27,43,22,62,87,47,nan,67,16,25,23,72,22,31, 
(1510,Linfa,22,31,38,30,49,45,30,14,nan,40,49,25,40,22,31,45,19,14,22,30,16,47,62,31,nan,52,12,20,19,38,20,19, 
(1508,Kujira,31,23,43,36,30,30,23,16,nan,20,56,19,27,7,23,34,22,14,nan,25,12,25,nan,22,nan,34,12,19,14,38,13,16, 
(1415,Kalmaegi,58,56,85,96,77,62,43,49,nan,54,118,49,75,22,59,65,56,25,38,58,31,85,110,58,nan,88,20,36,36,79,34,41, 
(1414W,TD1414W,27,31,36,38,43,34,23,16,nan,30,63,25,36,nan,25,30,25,13,19,31,14,31,52,27,nan,40,14,16,19,41,16,22, 
(1409,Rammasun,45,40,63,65,58,45,36,34,nan,31,nan,36,45,12,41,49,36,20,25,45,25,54,79,nan,nan,67,16,25,22,62,22,30, 
